GLTC Race 3 Results *wet,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,90,Matt Waldbaum,GLTC - RWD,2:23.299,5,6,,25
2,41,James Houghton,GLTC - FWD,2:24.141,5,6,0.601,21
3,82,Eric Kutil,GLTC - FWD,2:23.484,5,6,3.277,18
4,47,Ryan Power,GLTC - RWD,2:24.887,5,6,7.508,16
5,3,Jeremy Swenson,GLTC - RWD,2:27.596,1,6,8.952,15
6,14,Carlos Mendez,GLTC - RWD,2:26.681,5,6,1.207,14
7,374,Emile Tabb,GLTC - RWD,2:26.429,5,6,0.273,13
8,484,Matan Rosenberg,GLTC - RWD,2:27.334,6,6,10.058,12
9,73,Jason Saini,GLTC - RWD,2:27.325,5,6,0.575,11
10,7,Luke McGrew,GLTC - RWD,2:27.267,5,6,0.575,10
11,243,Kevin Zhu,GLTC - FWD,2:28.216,6,6,5.682,9
12,71,Joel Morrison,GLTC - RWD,2:28.076,5,6,1.125,8
13,99,Ronnie Vajdak,GLTC - FWD,2:27.243,5,6,1.084,7
14,18,Colton Wade,GLTC - RWD,2:28.404,5,6,0.955,6
15,213,Scott Robertson,GLTC - RWD,2:28.051,5,6,0.742,5
16,42,Zac Lovoy,GLTC - RWD,2:29.912,6,6,6.911,4
17,72,Scott Heckert,GLTC - RWD,2:27.253,6,6,0.706,3
18,55,Paul Darling,GLTC - RWD,2:31.399,5,6,8.974,2
19,1,Gary Wimble,GLTC - RWD,2:32.397,4,6,5.076,1
20,17,Tony Marchev,GLTC - RWD,2:30.524,5,6,3.407,0
21,81,Benjamin Marouski,GLTC - FWD,2:34.670,6,6,14.038,0
22,34,Austin Hertel,GLTC - RWD,2:33.754,6,6,0.626,0
23,917,Lena Chin,GLTC - RWD,2:33.889,5,6,3.358,0
24,207,Adam Wood,GLTC - AWD,2:34.302,5,6,6.836,0
25,52,Mackenzie Korince,GLTC - FWD,2:34.233,5,6,5.009,0
26,87,Nicholas Stentiford,GLTC - RWD,2:36.163,4,6,0.549,0
27,22,Peter McParland,GLTC - RWD,2:37.864,5,6,9.966,0
28,767,Wes Case,GLTC - RWD,2:38.803,5,6,0.863,0
29,166,Ben Thorn,GLTC - FWD,2:35.535,4,6,0.277,0
30,515,Thomas Moss,GLTC - RWD,2:39.924,4,6,3.023,0
31,363,Donald Lui,GLTC - FWD,2:37.086,5,6,1.251,0
32,777,Michael McGinnis,GLTC - AWD,2:41.652,6,6,7.338,0
33,32,Lisa Keyes,GLTC - FWD,2:40.933,4,6,0.864,0
34,88,Jacob Poole,GLTC - FWD,2:41.489,2,6,5.424,0
35,2,Erik Meadows,GLTC - RWD,2:41.201,4,6,8.986,0
36,333,Fiona Lou,GLTC - RWD,2:30.264,5,5,0.645,0
37,24,Tyler Pappas,GLTC - RWD,2:31.045,4,5,1 Lap,0
38,528,Richard Sawicki,GLTC - RWD,2:44.933,5,5,1:35.207,0
39,860,Nathan Manning,GLTC - FWD,2:52.913,3,3,2 Laps,0
40,79,Cory Mitchell,GLTC - RWD,3:01.257,3,3,9.995,0