GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:58.806,8,8,,25
2,17,Tony Marchev,GLTC - RWD,2:00.216,8,8,2.377,21
3,212,Team ASM,GLTC - RWD,1:58.893,8,8,1.129,18
4,49,Nicholas Barbato,GLTC - RWD,1:59.060,7,8,0.935,16
5,90,Matt Waldbaum,GLTC - RWD,1:59.561,8,8,3.709,15
6,129,James Cathers,GLTC - RWD,1:59.496,8,8,0.853,14
7,3,Erik Meadows,GLTC - RWD,1:58.526,8,8,0.637,13
8,917,Lena Chin,GLTC - RWD,2:00.460,8,8,7.231,12
9,77,Hans Horpedahl,GLTC - RWD,2:00.266,7,8,0.218,11
10,99,Ronnie Vajdak,GLTC - RWD,2:00.985,7,8,0.051,10
11,824,Bryan Hedian,GLTC - RWD,2:01.003,7,8,3.515,9
12,28,Peter Zhang,GLTC - RWD,1:59.832,8,8,1.896,8
13,204,Lealand Wamboldt,GLTC - FWD,1:59.655,8,8,0.805,7
14,74,Erik Dallariva,GLTC - FWD,2:02.563,8,8,15.275,6
15,78,Jason Kanakry,GLTC - RWD,2:03.006,8,8,2.234,5
16,46,Ryan Kristoff,GLTC - FWD,2:02.999,8,8,0.765,4
17,1,Gary Wimble,GLTC - RWD,2:02.695,8,8,7.474,3
18,213,Scott Robertson,GLTC - RWD,2:04.745,8,8,1.344,2
19,83,Carlos Mendez,GLTC - RWD,2:04.492,8,8,0.241,1
20,25,Nicolas Fuller,GLTC - RWD,2:04.076,8,8,0.664,0
21,84,Thomas Lathrop,GLTC - RWD,2:04.585,8,8,12.487,0
22,100,Andrew Cowden,GLTC - RWD,2:06.017,8,8,11.519,0
23,888,Dai Nguyen,GLTC - RWD,2:05.258,6,8,1.093,0
24,11,Jeremy Zeitler,GLTC - FWD,2:06.875,8,8,0.286,0
25,594,Rory Lonergan,GLTC - RWD,2:08.667,4,8,5.005,0
26,131,Lisa Keyes,GLTC - FWD,2:06.570,8,8,8.863,0
27,541,Matthew Harbert,GLTC - FWD,2:07.708,8,8,3.881,0
28,484,Matan Rosenberg,GLTC - RWD,2:09.764,1,1,7 Laps,0
29,85,Samuel Scott,GLTC - RWD,,0,,,0
DQ,50,Tony Barber,GLTC - RWD,1:59.808,8,8,,0