TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,304,Allen Patten,TRACK MOD - RWD,1:28.894,CORVETTE
2,70,Dewey Dewitt,STREET MOD - AWD,1:30.604,IMPREZA
3,150,Andy Smedegard,STREET MOD - RWD,1:30.973,S2000
4,29,Kyle Mckiou,STREET MOD - RWD,1:31.156,GR SUPRA
5,338,Ernestas Puzelis,UNLIMITED - RWD,1:31.702,CORVETTE
6,551,Austin Barnes,TRACK MOD - RWD,1:31.946,CORVETTE
7,121,Ryan Mathews,STREET MOD - RWD,1:32.856,CORVETTE
8,51,Jon Roed,STREET MOD - RWD,1:33.059,MX-5 MIATA
9,299,Colton Drescosky,TRACK MOD - RWD,1:33.149,VIPER
10,445,Justin Peachey,TRACK MOD - RWD,1:33.229,CORVETTE
11,14,Kal Fortner,STREET MOD - RWD,1:33.330,MERCEDES-AMG GT
12,444,Luca Barberis,STREET MOD - RWD,1:33.437,GR SUPRA
13,212,Chris Smith,TRACK MOD - RWD,1:33.581,1 SERIES
14,171,Andrius Bertulis,UNLIMITED - RWD,1:33.608,RCF
15,93,John Veloso,SUPER UNLIMITED - RWD,1:33.958,CIVIC
16,211,Ryan Mathews,STREET GT - RWD,1:34.375,CORVETTE
17,443,Andy Holst,STREET - AWD,1:34.859,LANCER
18,606,Christian Aranha,TRACK MOD - RWD,1:34.952,GR SUPRA
19,33,Chris Boersma,TRACK MOD - FWD,1:35.101,CIVIC
20,1,Luke Mcgrew,STREET GT - RWD,1:35.206,CORVETTE
21,11,Graham Gaylord,STREET MOD - AWD,1:35.580,IMPREZA
22,290,Brian Van Orsdol,STREET MOD - RWD,1:35.620,GR SUPRA
23,451,Christopher Lewis,TRACK MOD - RWD,1:36.084,CORVETTE
24,777,Joshua Halka,STREET - AWD,1:36.306,IMPREZA
25,364,Nicholas Hendrix,STREET GT - RWD,1:36.452,CORVETTE
26,773,Luie Zendejas,UNLIMITED - RWD,1:36.676,CORVETTE
27,128,Daniel Moore,TRACK MOD - FWD,1:37.013,CIVIC
28,193,Brad Moore,STREET - RWD,1:37.055,718 CAYMAN
29,96,Michael Young,TRACK MOD - RWD,1:37.399,CORVETTE
30,727,Mario Mirone,CLUB TR - FWD,1:37.751,CIVIC
31,310,Mike Coons,STREET - AWD,1:37.807,IMPREZA
32,22,Dallas Reed,STREET GT - AWD,1:37.901,CORVETTE
33,55,Charles Miller,STREET - AWD,1:37.975,EVO
34,326,Stan Fayngold,CLUB TR - RWD,1:38.370,FR-S
35,30,Seth Brown,STREET GT - RWD,1:38.374,CORVETTE
36,470,Zac Zhou,TRACK MOD - RWD,1:38.479 DQ,GALLARDO
37,466,Willem Drees,STREET - FWD,1:38.612,ELANTRA N
38,145,Devin Hofmann,STREET MOD - AWD,1:38.638,WRX
39,94,Mike Bryant,CLUB TR - RWD,1:38.764,MX-5 MIATA
40,571,John Laughlin,STREET - FWD,1:38.775,CIVIC
41,13,Jerami Bailey,CLUB TR - RWD,1:38.835,FR-S
42,58,Grant White,STREET MOD - RWD,1:38.841,MUSTANG
43,194,Mike Callaway,STREET - AWD,1:39.017,IMPREZA
44,311,Jan Wildner,STREET - RWD,1:39.056,240SX
45,511,Peter Granberg,CLUB TR - RWD,1:39.136,BRZ
46,228,Brad Smith,STREET GT - RWD,1:39.167,CAMARO
47,716,Darius Zajac,TRACK MOD - RWD,1:39.214,CORVETTE
48,199,Ian Flavin,CLUB TR - RWD,1:39.638,BRZ
49,625,Sam Bosnian,STREET - RWD,1:39.698,350Z
50,204,Christopher Heideman,CLUB TR - RWD,1:39.774,S2000
51,40,Ben Bulthuis,STREET GT - RWD,1:39.785,GR SUPRA
52,525,Jeremy Lowder,UNLIMITED - RWD,1:39.789,CAMARO
53,244,Mike Burroughs,TRACK MOD - RWD,1:40.045,244 GTK
54,44,Joel Phillips,TRACK MOD - RWD,1:40.972,911
55,23,King Thao,CLUB TR - FWD,1:41.256,CIVIC
56,15,Adam Wrobel,CLUB TR - FWD,1:41.262,INTEGRA
57,718,Ruben Manrique,STREET - RWD,1:41.265,718 CAYMAN
58,740,Alexis Fregoso,CLUB TR - FWD,1:41.430,RSX
59,48,Jeremy Hensley,STREET - AWD,1:41.458,IMPREZA
60,718x,Zach Moore,STREET - RWD,1:41.542,CAYMAN
61,319,Chris Schuster,CLUB TR - RWD,1:41.644,GR86
62,238,Garrett Gloceri,CLUB TR - RWD,1:41.740,RX-8
63,26,Arthur Dvortsen,CLUB TR - RWD,1:41.865,MX-5 MIATA
64,498,Bradley Folse,STREET - AWD,1:41.949,IMPREZA
65,83,Ben Ciric,STREET - RWD,1:42.572,370Z
66,262,Noah Janke,CLUB TR - RWD,1:42.617,MR2
67,241,Dariush Lotfi,CLUB TR - RWD,1:42.698,MX-5 MIATA
68,521,Juniper Zarder,STREET MOD - RWD,1:42.890,Z
69,360,Randy Ramchand,CLUB TR - RWD,1:42.960,S2000
70,49,Nicholas Zelisko,STREET - RWD,1:43.192,RX-8
71,202,Rebekah Cohen,STREET - FWD,1:43.249,CIVIC TYPE R
72,67,Jonathan Denk,STREET MOD - FWD,1:43.325,CIVIC
73,7,Thomas Halka,STREET - AWD,1:43.473,IMPREZA
74,598,Cory Gordinier,STREET MOD - RWD,1:43.570,MX-5 MIATA
75,541,Chuck Mayer,STREET - AWD,1:43.660,WRX
76,240,Eric Knerr,CLUB TR - FWD,1:44.155,CIVIC
77,169,Dan Mai,CLUB TR - RWD,1:44.267,325I
78,541,Chuck Mayer,STREET - RWD,1:44.517,WRX
79,818,Sonya Klaus,STREET MOD - RWD,1:44.533,350Z
80,142,Juan Johnson,CLUB TR - RWD,1:44.949,S2000
81,56,Nicholas Alpin,TRACK MOD - RWD,1:44.999,CORVETTE
82,432,Connor Omara,CLUB TR - AWD,1:45.622,R32
83,614,Mark Riehle,CLUB TR - FWD,1:47.670,COOPER
84,509,Kevin Wendt,CLUB TR - FWD,1:47.998,CR-X
85,287,Johnny Rose,CLUB TR - RWD,1:49.268,86
86,16,Justin Lachausse,STREET - AWD,1:49.272,COROLLA
87,806,Jordan Gunther,CLUB TR - RWD,1:49.803,BRZ
88,134,David Best,CLUB SC - FWD,1:50.995,FIT
89,156,Mike Janssen,CLUB SC - FWD,1:51.106,CIVIC
90,370,Sam Deuling,CLUB SC - FWD,1:51.535,FIT
91,144,Ryan Mukherjee,CLUB SC - FWD,1:51.933,FIT
92,91,Chris Rice,CLUB SC - FWD,1:52.427,FIT
93,216,Nickolas Berg,CLUB SC - FWD,1:53.039,CIVIC
94,302,Adam Cook,TRACK MOD - RWD,1:53.226,MARK VIII
95,122,Jason Davidson,CLUB SC - FWD,1:54.050,FIT
96,343,Matthew Reinhart,CLUB SC - FWD,1:55.316,FIT
97,95,Alex Gomez,CLUB SC - FWD,1:56.348,FIT
98,117,Daniel Glasgow,CLUB SC - FWD,2:00.982,FIT
99,20,Israel Trejo,CLUB SC - FWD,2:01.865,DEL SOL
100,500,Steven Luca,UNLIMITED - RWD,,MUSTANG
101,127,Mark Johnson,UNLIMITED - RWD,,CIVIC
102,269,Shawn Bassett,UNLIMITED - RWD,,240Z
103,44,Joel Phillips,STREET GT - RWD,,911
104,287x,Luis Rodriguez,CLUB TR - RWD,,86
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 44: Impound Violation, Technical Compliance for Class - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,Official Results published  6/8/25 9:35