RUSH SR Race 4 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,74,Jason Oehler,SR,1:34.700,7,7,,25
2,88,Jaylan Battley,SR,1:34.518,6,7,1.086,21
3,114,Bryce Mersberger,SR,1:35.702,6,7,1.913,18
4,81,Robert Desjardins,SR,1:36.244,7,7,3.271,16
5,13,Lee Kellert,SR,1:36.211,7,7,0.336,15
6,256,Samuel Reed,SR,1:36.422,7,7,1.065,14
7,125,Max Krause,SR,1:36.120,7,7,0.233,13
8,115,Ethan Hardesty,SR,1:37.185,7,7,1.179,12
9,58,Bill Wright,SR,1:37.442,7,7,3.498,11
10,82,Pat Brady,SR,1:38.602,1,7,11.706,10
11,71,Paul Klich,SR,1:40.948,5,7,3.517,9
12,444,Fred Thomas,SR,1:41.545,1,7,3.881,8
13,113,Tim Burkard,SR,1:42.153,6,7,0.68,7
14,227,Aj Campo,SR,1:51.591,4,4,3 Laps,6
DQ,117,Kevin Kirkwood,SR,1:37.196,1,7,,5
DQ,22,Jeremy Boysen,SR,1:37.685,6,7,,4
DQ,128,Jeff Hardesty,SR,1:38.381,6,7,,3
Penalty Car 117: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 128: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 22: Avoidable Contact - DQ,,,,,,,,
,,,,,,,,Official Results Published - 6/29/25 15:30